bodypart,rgb
ref(head-post),"255,25,25"
lowerlip,"255,75,25"
upperlip(left),"255,124,25"
upperlip(right),"255,173,25"
nose(bottom),"255,222,25"
nose(tip),"239,255,25"
nose(top),"189,255,25"
eye(front)(left),"140,255,25"
eye(top)(left),"91,255,25"
eye(back)(left),"42,255,25"
eye(bottom)(left),"25,255,58"
ear(base)(left),"25,255,107"
ear(top)(left),"25,255,157"
ear(tip)(left),"25,255,206"
ear(bottom)(left),"25,255,255"
pad(top)(left),"25,206,255"
pad(side)(left),"25,157,255"
pad(center),"25,107,255"
eye(front)(right),"25,58,255"
eye(top)(right),"42,25,255"
eye(back)(right),"91,25,255"
eye(bottom)(right),"140,25,255"
ear(base)(right),"189,25,255"
ear(top)(right),"239,25,255"
ear(tip)(right),"255,25,222"
ear(bottom)(right),"255,25,173"
pad(top)(right),"255,25,124"
pad(side)(right),"255,25,75"
