code,sheet,recording,image,image_path,label_table,labeled_keypoints,total_keypoints
Q0001,1,20231013_B6_long-anes_awake_000_BC_09-36-00,img02337.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/img02337.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/CollectedData_houlab.h5,11,28
Q0002,1,20231013_B6_long-anes_awake_000_BC_09-36-00,img06863.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/img06863.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/CollectedData_houlab.h5,11,28
Q0003,1,20231013_B6_long-anes_awake_000_BC_09-36-00,img20451.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/img20451.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/CollectedData_houlab.h5,11,28
Q0004,1,20231013_B6_long-anes_awake_000_BC_09-36-00,img27366.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/img27366.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/CollectedData_houlab.h5,11,28
Q0005,1,20231013_B6_long-anes_awake_000_BC_09-36-00,img30476.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/img30476.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/CollectedData_houlab.h5,11,28
Q0006,1,20231013_B6_long-anes_awake_000_L_09-36-00,img01415.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/img01415.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/CollectedData_houlab.h5,17,28
Q0007,1,20231013_B6_long-anes_awake_000_L_09-36-00,img06842.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/img06842.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/CollectedData_houlab.h5,17,28
Q0008,1,20231013_B6_long-anes_awake_000_L_09-36-00,img12504.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/img12504.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/CollectedData_houlab.h5,17,28
Q0009,1,20231013_B6_long-anes_awake_000_L_09-36-00,img25591.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/img25591.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/CollectedData_houlab.h5,17,28
Q0010,1,20231013_B6_long-anes_awake_000_L_09-36-00,img27184.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/img27184.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/CollectedData_houlab.h5,17,28
Q0011,1,20231013_B6_long-anes_awake_000_R_09-36-00,img10786.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/img10786.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/CollectedData_houlab.h5,17,28
Q0012,1,20231013_B6_long-anes_awake_000_R_09-36-00,img13911.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/img13911.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/CollectedData_houlab.h5,17,28
Q0013,1,20231013_B6_long-anes_awake_000_R_09-36-00,img17186.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/img17186.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/CollectedData_houlab.h5,17,28
Q0014,1,20231013_B6_long-anes_awake_000_R_09-36-00,img20432.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/img20432.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/CollectedData_houlab.h5,17,28
Q0015,1,20231013_B6_long-anes_awake_000_R_09-36-00,img28176.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/img28176.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/CollectedData_houlab.h5,17,28
Q0016,1,20231013_B6_long-anes_awake_000_TC_09-36-00,img11690.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/img11690.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/CollectedData_houlab.h5,10,28
Q0017,1,20231013_B6_long-anes_awake_000_TC_09-36-00,img14242.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/img14242.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/CollectedData_houlab.h5,10,28
Q0018,1,20231013_B6_long-anes_awake_000_TC_09-36-00,img15174.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/img15174.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/CollectedData_houlab.h5,10,28
Q0019,1,20231013_B6_long-anes_awake_000_TC_09-36-00,img20984.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/img20984.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/CollectedData_houlab.h5,10,28
Q0020,1,20231013_B6_long-anes_awake_000_TC_09-36-00,img29922.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/img29922.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/CollectedData_houlab.h5,10,28
Q0021,1,20231013_B6_long-anes_awake_000_TL_09-36-00,img00674.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/img00674.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/CollectedData_houlab.h5,10,28
Q0022,1,20231013_B6_long-anes_awake_000_TL_09-36-00,img14497.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/img14497.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/CollectedData_houlab.h5,10,28
Q0023,1,20231013_B6_long-anes_awake_000_TL_09-36-00,img14568.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/img14568.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/CollectedData_houlab.h5,10,28
Q0024,1,20231013_B6_long-anes_awake_000_TL_09-36-00,img14588.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/img14588.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/CollectedData_houlab.h5,10,28
Q0025,1,20231013_B6_long-anes_awake_000_TL_09-36-00,img14686.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/img14686.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/CollectedData_houlab.h5,10,28
Q0026,1,20231013_B6_long-anes_awake_000_TR_09-36-00,img14496.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/img14496.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/CollectedData_houlab.h5,10,28
Q0027,1,20231013_B6_long-anes_awake_000_TR_09-36-00,img14602.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/img14602.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/CollectedData_houlab.h5,10,28
Q0028,1,20231013_B6_long-anes_awake_000_TR_09-36-00,img14649.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/img14649.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/CollectedData_houlab.h5,10,28
Q0029,1,20231013_B6_long-anes_awake_000_TR_09-36-00,img16691.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/img16691.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/CollectedData_houlab.h5,10,28
Q0030,1,20231013_B6_long-anes_awake_000_TR_09-36-00,img16863.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/img16863.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/CollectedData_houlab.h5,10,28
Q0031,1,20231013_B8_long-anes_awake_100_BC_12-01-00,img01524.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/img01524.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/CollectedData_houlab.h5,11,28
Q0032,1,20231013_B8_long-anes_awake_100_BC_12-01-00,img09441.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/img09441.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/CollectedData_houlab.h5,11,28
Q0033,1,20231013_B8_long-anes_awake_100_BC_12-01-00,img16902.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/img16902.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/CollectedData_houlab.h5,11,28
Q0034,1,20231013_B8_long-anes_awake_100_BC_12-01-00,img18126.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/img18126.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/CollectedData_houlab.h5,11,28
