code,sheet,recording_folder,representative_image,image_path,label_table,labeled_keypoints,selection
F001,1,20231013_B6_long-anes_awake_000_BC_09-36-00,img02337.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/img02337.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_BC_09-36-00/CollectedData_houlab.h5,11,most completely labeled frame in folder
F002,1,20231013_B6_long-anes_awake_000_L_09-36-00,img01415.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/img01415.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_L_09-36-00/CollectedData_houlab.h5,17,most completely labeled frame in folder
F003,1,20231013_B6_long-anes_awake_000_R_09-36-00,img10786.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/img10786.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_R_09-36-00/CollectedData_houlab.h5,17,most completely labeled frame in folder
F004,1,20231013_B6_long-anes_awake_000_TC_09-36-00,img11690.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/img11690.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TC_09-36-00/CollectedData_houlab.h5,10,most completely labeled frame in folder
F005,1,20231013_B6_long-anes_awake_000_TL_09-36-00,img00674.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/img00674.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TL_09-36-00/CollectedData_houlab.h5,10,most completely labeled frame in folder
F006,1,20231013_B6_long-anes_awake_000_TR_09-36-00,img14496.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/img14496.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B6_long-anes_awake_000_TR_09-36-00/CollectedData_houlab.h5,10,most completely labeled frame in folder
F007,1,20231013_B8_long-anes_awake_100_BC_12-01-00,img01524.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/img01524.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_BC_12-01-00/CollectedData_houlab.h5,11,most completely labeled frame in folder
F008,1,20231013_B8_long-anes_awake_100_L_12-01-00,img00047.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_L_12-01-00/img00047.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_L_12-01-00/CollectedData_houlab.h5,17,most completely labeled frame in folder
F009,1,20231013_B8_long-anes_awake_100_R_12-01-00,img18127.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_R_12-01-00/img18127.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_R_12-01-00/CollectedData_houlab.h5,16,most completely labeled frame in folder
F010,1,20231013_B8_long-anes_awake_100_TC_12-01-00,img02344.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_TC_12-01-00/img02344.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_TC_12-01-00/CollectedData_houlab.h5,10,most completely labeled frame in folder
F011,1,20231013_B8_long-anes_awake_100_TL_12-01-00,img15579.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_TL_12-01-00/img15579.png,/data/disk2/home/tony/demo1/model/cheese3d_demo_model/backend/cheese3d_demo_model-houlab-2025-05-28/labeled-data/20231013_B8_long-anes_awake_100_TL_12-01-00/CollectedData_houlab.h5,10,most completely labeled frame in folder
